K H I H	1042 0 1008
F K O	1046 0 1017
C Q S	865 0 788 943
R H H	1239 0 1204
P K O H	1044 0 1011
D G N	362 622 881 0 331 912
H C	814 946 1022 0 781 1059
N V N E	422 695 968 0 391 999
W F N N	877 0 846
H G H	910 0 876
R R R	1253 0 1236
I A T K	1047 0 1015
C L Q	864 0 788 941
Y V C	828 876 1001 0 785 1024
L T M I	965 0 934
E E	431 0 374 469
I P K	1047 0 1015
O Y C	828 876 1001 0 785 1024
S U D	362 961 0 331 992
Q M C	818 922 1025 0 784 1059
R W	1243 0 1210
V E P	422 1061 0 391 1092
W M G	957 0 926
S I I	965 0 934
U D T	362 637 911 0 331 942
E Y H M	595 759 926 0 562 954
G P D Y	362 622 916 0 331 945
Y I O R	1000 1147 1245 0 970 1279
P P	1057 0 1025
F C	818 922 1025 0 784 1059
U L G V	959 0 928
I S Y E	422 680 967 0 391 990
M T	907 0 876
Q A	966 0 935
G F Q D	362 961 0 331 992
Q C G	835 888 941 0 786 990
W F L L	957 0 926
S H U G	955 0 922
D F O H	595 774 917 0 563 949
C I K	893 0 862 1082
O M	918 0 887
A P U L	957 0 926
V Q	910 0 879
S Y C	828 876 1001 0 785 1024
O E Y V	422 677 963 0 391 987
G N U	345 0 314
T H	912 0 879
Q S P V	959 0 928
M E Y	422 652 916 0 391 945
A Y R N	1001 1147 1245 0 969 1279
A R R	1253 0 1232
P Q V	959 0 928
F A	966 0 935
L N R	1243 0 1210
M Q C	818 922 1025 0 784 1059
A O T	907 0 876
U W	936 0 905
C N	848 0 787 909
Q D K	896 0 859 1082
P K K	1058 0 1037
W H	912 0 879
M R H V	1241 0 1207
A M N	877 0 846
A Y	958 0 881 1035
M Q K	1047 0 1015
T K D	975 0 925 1079
F C A	830 892 954 0 786 999
E V M	422 672 922 0 391 953
R W I C	1024 1159 1243 0 990 1279
G R I	1243 0 1210
S Y A	987 0 934 1040
P C T	863 0 788 938
A N	877 0 846
H F H	910 0 876
E U	386 0 318 453
G V	959 0 928
A U Q	910 0 879
R W R R	1253 0 1236
K F P M	1046 0 1015
D Q G	362 961 0 331 992
Y O L	982 0 927 1038
I O T Y	958 0 881 1035
W R Y G	1004 1148 1245 0 979 1279
P W T E	422 695 968 0 391 999
N D O	362 966 0 331 997
N U M U	345 0 314
W O Y N	913 942 972 0 849 1036
K D O	981 0 930 1079
O E	422 695 968 0 391 999
H T M A	964 0 931
N L W	936 0 905
M O	962 0 931
I D U F	362 638 914 0 331 945
M N V	959 0 928
U L F K	1047 0 1015
S P E Q	422 668 914 0 391 945
C E T K	857 0 785 927
K L N	1047 0 1015
V F Q	910 0 879
S S O	962 0 931
S N P M	918 0 887
N R E	962 1124 1247 0 930 1280
D V O	362 966 0 331 997
I R W M	1243 0 1210
N T K F	1046 0 1015
D Q F	362 638 914 0 331 945
H C E N	597 706 820 0 563 847
D I I T	362 637 911 0 331 942
S I E M	422 672 922 0 391 953
U E V	422 693 963 0 391 994
E S K U	418 1054 0 391 1085
W K I	1046 0 1018
E S W	422 681 940 0 391 971
E W W	422 681 940 0 391 971
Y O A	987 0 934 1040
T L C	818 922 1025 0 784 1059
G R W	1243 0 1210
L V	959 0 928
D I F N	362 622 881 0 331 912
G Y	958 0 881 1035
A L M	918 0 887
E T S	422 669 916 0 391 947
D F Q	362 638 914 0 331 945
C H	832 0 783 943
F T	907 0 876
K S A R	1240 0 1207
A Y M G	982 0 927 1038
F S Y F	959 0 883 1035
S S Y M	963 0 891 1035
C D I	362 575 822 0 331 854
U U W	936 0 905
R G T	1243 0 1210
S K O	1046 0 1017
V T M O	962 0 931
G F Q	910 0 879
O F	910 0 879
K F H	1044 0 1011
Y L V	983 0 928 1038
G M E G	422 692 961 0 391 992
D V	362 963 0 331 994
T N K	1047 0 1015
S L L	957 0 926
A E Q	422 668 914 0 391 945
V D Q N	362 622 881 0 331 912
D N	362 622 881 0 331 912
O F V	959 0 928
V K P	1065 0 1045
N Q P I	965 0 934
C D	362 575 822 0 331 854
R Y K W	1047 1202 1228 0 1022 1278
S E G	422 692 961 0 391 992
G K G P	1065 0 1045
A R T Y	1000 1147 1245 0 971 1279
R Y M	1000 1147 1245 0 972 1279
W O G	957 0 926
I W	936 0 905
O P Y S	960 0 885 1035
V H R C	1022 1174 1240 0 987 1279
C L U	345 582 819 0 314 850
M W	936 0 905
H Y	926 0 876 1033
T M U L	957 0 926
R R D	1236 0 1200 1302
D C A	362 575 822 0 331 854
A G G	957 0 926
Q Q V	959 0 928
P M M	918 0 887
L T G	957 0 926
L F Y	958 0 881 1035
V D O T	362 637 911 0 331 942
M L	957 0 926
T F K	1047 0 1015
Q A T O	962 0 931
U O V Q	910 0 879
E D P	410 0 333 458
T I Q	910 0 879
R W G R	1253 0 1232
K Y	1014 0 972 1087
A V M Q	910 0 879
L P G F	910 0 879
H E N	595 757 880 0 562 912
U E Q Y	422 652 916 0 391 945
G U W	936 0 905
C Q F	864 0 788 941
Y S K R	1048 1202 1228 0 1022 1278
D W S O	362 966 0 331 997
K C S L	973 0 924 1079
T F D G	362 961 0 331 992
P C V L	835 888 941 0 786 990
T L	957 0 926
S W G C	818 922 1025 0 784 1059
Y G K	1015 0 971 1087
K L G O	1046 0 1017
I R S	1243 0 1210
T E W G	422 692 961 0 391 992
M V E N	422 652 881 0 391 912
P K M M	1046 0 1015
I W P W	936 0 905
A W S	912 0 881
R R R L	1253 0 1236
A D U W	362 940 0 331 971
R W A	1243 0 1210
W H N	875 0 842
K S F Q	1046 0 1015
C O Y C	828 0 762 864
S D H C	598 708 818 0 563 853
Y W	972 0 908 1035
K U V	1046 0 1017
F I P H	912 0 879
H Q M S	910 0 877
M N	877 0 846
G Y E P	422 700 1009 0 391 1034
D T V	362 963 0 331 994
Y R D	982 0 924 1041
T Q F	910 0 879
R A A V	1243 0 1210
Y T G	982 0 927 1038
N O Y	958 0 881 1035
C W	0 787 968
R W L	1243 0 1210
I D	362 961 0 331 992
Q O E L	422 692 961 0 391 992
U N G	957 0 926
S M T H	912 0 879
U S W P	1057 0 1025
R L T R	1253 0 1232
H O Q	908 0 875
H K O L	1043 0 1014
G W S	912 0 881
L N Y	958 0 881 1035
T N M U	345 0 314
P F D	362 961 0 331 992
Q C M A	830 892 954 0 786 999
E A L V	422 693 963 0 391 994
Y Y C M	921 0 790 958
H K Y	1008 0 968 1090
K I H	1044 0 1011
I N	877 0 846
N Y	958 0 881 1035
E Q C	422 605 821 0 391 854
I L S U	345 0 314
G I K	1047 0 1015
L K Q	1046 0 1015
P E H	594 774 917 0 562 949
L O M	918 0 887
U K K	1058 0 1037
V W E	422 695 968 0 391 999
L W M	918 0 887
D E H O	425 517 595 0 395 634
T E M	422 672 922 0 391 953
M D G	362 961 0 331 992
T U R L	1243 0 1210
Q M L M	918 0 887
H T F	908 0 875
K S	1046 0 1015
F L H Q	908 0 875
P T R H	1241 0 1207
H S N N	875 0 842
Y E	422 680 967 0 391 990
Y W W P	1032 0 975 1090
E D S C	417 0 330 462
H U H	910 0 876
Y Q M	963 0 891 1035
Y W D	362 962 0 331 985
P L M	918 0 887
K M N	1047 0 1015
Q S	912 0 881
S K	1047 0 1015
G U K	1047 0 1015
O U G	957 0 926
S S	912 0 881
Y H S C	819 903 1000 0 781 1024
W W	936 0 905
V E W	422 681 940 0 391 971
S P	1057 0 1025
S Y H	933 0 882 1033
T P	1057 0 1025
L U U N	877 0 846
N L	957 0 926
E M Y	422 652 916 0 391 945
M S Y	958 0 881 1035
Y M D T	362 621 915 0 331 944
K P L N	1047 0 1015
O G O Q	910 0 879
K T O	1046 0 1017
C T S C	824 0 767 862
D T I W	362 940 0 331 971
R T L N	1243 0 1210
A I U H	912 0 879
T U M	918 0 887
A S P	1057 0 1025
L H W S	910 0 877
H N	875 0 842
I R I H	1241 0 1207
E V S	422 669 916 0 391 947
R W W	1243 0 1210
G D V O	362 966 0 331 997
U I	965 0 934
K I S	1046 0 1015
R R W	1253 0 1232
Q Q F F	910 0 879
D Q	362 638 914 0 331 945
H C H V	817 0 778 989
L V T	907 0 876
G T N Y	958 0 881 1035
E Y	422 652 916 0 391 945
V A L	957 0 926
A U T Q	910 0 879
N Q D	362 961 0 331 992
R D A N	875 1079 1248 0 843 1280
K F M	1046 0 1015
Q M U	345 0 314
L L Y K	1015 0 971 1087
O T U I	965 0 934
R E M	916 1100 1248 0 883 1280
P S	912 0 881
H U	595 0 563
H F E	594 798 968 0 562 999
K O V	1046 0 1017
I F W Q	910 0 879
W L	957 0 926
C P N U	345 582 819 0 314 850
C R Q	906 1096 1248 0 877 1280
M I	965 0 934
C D G G	362 575 822 0 331 854
V H	912 0 879
E A O P	422 1061 0 391 1092
L I M	918 0 887
Y A M	963 0 891 1035
M U F	910 0 879
O G	957 0 926
L V L E	422 695 968 0 391 999
Y C	828 876 1001 0 785 1024
Q S V K	1047 0 1015
L K	1047 0 1015
A V L A	966 0 935
A A O	962 0 931
C O G	835 888 941 0 786 990
Q O R K	1240 0 1207
F S V I	965 0 934
G O R Q	1243 0 1210
U C	818 922 1025 0 784 1059
U L	957 0 926
M T Y	958 0 881 1035
V W M M	918 0 887
K C E	830 885 960 0 783 998
E R Y S	960 0 882 1038
N O A	966 0 935
I U G	957 0 926
N G Q	910 0 879
G O U T	907 0 876
Q R W R	1253 0 1232
A Q A H	912 0 879
Y V K H	1008 0 969 1090
C L	835 888 941 0 786 990
S D C	362 575 821 0 331 854
C L N	848 0 787 909
Y R N	1001 1147 1245 0 969 1279
P F	910 0 879
S T C C	824 0 767 862
H Y O	973 0 928 1042
V G	957 0 926
E C R K	892 1006 1030 0 859 1086
C U K	893 0 862 1082
U R W A	1243 0 1210
O N P	1057 0 1025
Q C K M	923 0 885 1080
G N F K	1047 0 1015
C Y L	956 0 788 984
M T M G	957 0 926
W H K K	1056 0 1034
M E K H	917 0 878 1079
A H	912 0 879
E P K Q	917 0 877 1081
N M M P	1057 0 1025
N C E	422 605 822 0 391 854
R A I V	1243 0 1210
T U I W	936 0 905
Y A A	987 0 934 1040
R F I M	1243 0 1210
D G U	356 0 308 403
D T D	371 0 314 409
S W Y	958 0 881 1035
H C R	895 1101 1248 0 865 1280
O Y O	985 0 931 1039
T O	962 0 931
R F W S	1243 0 1210
S K V L	1046 0 1017
O Y C R	939 0 872 1038
N Q	910 0 879
U P U Q	910 0 879
O S A	966 0 935
M E	422 695 968 0 391 999
C F U G	835 888 941 0 786 990
I K P V	1046 0 1017
Q F	910 0 879
O K O	1046 0 1017
O P	1057 0 1025
K M R E	1045 1200 1228 0 1015 1278
W V H S	910 0 877
Q R V	1243 0 1210
C C S	824 0 767 859
T M V	959 0 928
D T M	362 922 0 331 953
Y R	1000 1147 1245 0 970 1279
H I	963 0 930
I V	959 0 928
G D K I	984 0 933 1080
L W V T	907 0 876
Y A F F	959 0 883 1035
G U A	966 0 935
C K H Y	935 0 875 1029
Y S	960 0 885 1035
H L G	955 0 922
Y G W F	959 0 883 1035
H N E T	594 771 910 0 562 942
E W Y V	422 677 963 0 391 987
R N Q Y	1000 1147 1245 0 971 1279
O F L	957 0 926
Y M F M	963 0 891 1035
U W I	965 0 934
P N V	959 0 928
K I D	975 0 925 1079
W G G R	1243 0 1210
G A V	959 0 928
W G W L	957 0 926
M U A K	1047 0 1015
G P	1057 0 1025
H L	955 0 922
L G A	966 0 935
V T	907 0 876
F S Y	958 0 881 1035
N O H	912 0 879
T T	907 0 876
I W F	910 0 879
V M	918 0 887
L Y G O	985 0 931 1039
S V Q	910 0 879
C R N	874 1079 1248 0 849 1280
I O C K	893 0 862 1082
V K M	1046 0 1015
P K Q Q	1046 0 1015
S S C T	863 0 788 938
F F N	877 0 846
A H F N	875 0 842
L T	907 0 876
U A N	877 0 846
A E C W	422 605 823 0 391 854
U F P I	965 0 934
L V U C	818 922 1025 0 784 1059
C K M	923 0 885 1080
W A G	957 0 926
O K G	1046 0 1017
I N N Y	958 0 881 1035
R P V	1243 0 1210
M H I A	964 0 931
O G M Y	958 0 881 1035
I I N G	957 0 926
O V N	877 0 846
F S V R	1243 0 1210
S E Y Q	422 653 918 0 391 947
I W E E	431 0 374 469
E V P M	422 672 922 0 391 953
E C U	407 0 318 458
R Q	1243 0 1210
S I C U	345 582 819 0 314 850
I I T	907 0 876
P A E	422 695 968 0 391 999
K G R	1240 0 1207
M K Y K	1042 0 1014 1108
W R N Y	1000 1147 1245 0 971 1279
W M Q	910 0 879
I F M K	1047 0 1015
Q F O	962 0 931
N R P	1242 0 1210
M O Q	910 0 879
A U L	957 0 926
C U L	835 888 941 0 786 990
O L R A	1243 0 1210
I Q	910 0 879
H A E C	597 708 818 0 563 853
Y C W O	961 0 788 988
P U	345 0 314
O M A D	362 961 0 331 992
S H W D	595 795 961 0 563 992
D P H M	595 776 921 0 563 953
D V H	595 774 917 0 563 949
H F N	875 0 842
H G C P	813 958 1058 0 780 1091
M D L Y	362 622 916 0 331 945
N V P	1057 0 1025
E D Y	417 0 330 462
S S E	422 695 968 0 391 999
T C H	832 0 783 943
L S G	957 0 926
D M P T	362 637 911 0 331 942
O A D F	362 638 914 0 331 945
R Q F	1243 0 1210
L F V	959 0 928
L W I	965 0 934
E M C	422 605 821 0 391 854
G Q	910 0 879
N L Y	958 0 881 1035
D A Y Q	362 623 918 0 331 947
Q D P V	362 963 0 331 994
Y N Y	989 0 884 1017
I V E F	422 668 914 0 391 945
Q W	936 0 905
K O E	983 0 932 1080
P V	959 0 928
R A	1243 0 1210
N F V	959 0 928
G V F C	818 922 1025 0 784 1059
L H V	957 0 924
C U U	345 582 819 0 314 850
D K U R	1046 1199 1228 0 1012 1278
U R K	1240 0 1207
M N O R	1243 0 1210
L O Q	910 0 879
H R H V	1239 0 1204
T O G	957 0 926
P A F	910 0 879
F T N H	912 0 879
Q M E S	422 669 916 0 391 947
A G R	1243 0 1210
M S G D	362 961 0 331 992
A F L V	959 0 928
L K N C	1030 0 988 1093
Y U	345 1008 0 314 1039
L P S I	965 0 934
F K	1047 0 1015
W C T M	868 0 788 949
N V K K	1058 0 1037
U D O	362 966 0 331 997
L H Q Q	908 0 875
Q R Q	1243 0 1210
Q V M A	966 0 935
K E Y	979 0 878 1030
Q C H Q	833 0 783 939
K E I	984 0 933 1080
O L I	965 0 934
E K Q	917 0 877 1081
P W P	1057 0 1025
E F H S	594 773 915 0 562 947
L G W S	912 0 881
O I G A	966 0 935
Y Y V	993 0 926 1021
T D Q	362 638 914 0 331 945
P P S	912 0 881
W Y Q	959 0 883 1035
T U	345 0 314
V M I	965 0 934
Q H	912 0 879
A U S O	962 0 931
U F	910 0 879
D D G	371 0 314 409
W S L	957 0 926
H E I	594 799 969 0 562 1000
D Y W S	362 624 920 0 331 949
A D D	371 0 314 409
E N Q F	422 668 914 0 391 945
F C Q A	830 892 954 0 786 999
G A S	912 0 881
I C N	848 0 787 909
A F W	936 0 905
D O C	362 575 821 0 331 854
Q V L	957 0 926
T U S H	912 0 879
N D O A	362 970 0 331 1001
W G	957 0 926
K Y L	1013 0 979 1086
H I V R	1241 0 1207
Q G K N	1047 0 1015
C E E I	435 0 369 471
D U E N	410 0 333 458
I M Y	958 0 881 1035
L I	965 0 934
N M V S	912 0 881
L H	912 0 879
R H D N	873 1088 1248 0 839 1280
F O G D	362 961 0 331 992
G F U	345 0 314
M F K	1047 0 1015
E M N	422 652 881 0 391 912
C S	865 0 788 943
P F K W	1046 0 1015
S E S	422 669 916 0 391 947
I V M T	907 0 876
G Q K P	1065 0 1045
V T H H	910 0 876
A T M A	966 0 935
E N U Y	422 652 916 0 391 945
S V W W	936 0 905
Q V O	962 0 931
P A	966 0 935
Q M I	965 0 934
O M G	957 0 926
M Q R	1243 0 1210
F W G U	345 0 314
M D P E	410 0 333 458
H A F R	1241 0 1207
T A	966 0 935
E A N	422 652 881 0 391 912
W S P C	818 922 1025 0 784 1059
L I G V	959 0 928
C L S	865 0 788 943
U R G	1243 0 1210
K L U E	983 0 932 1080
A D	362 961 0 331 992
U N V	959 0 928
E L R	899 1091 1248 0 866 1280
N H Q	908 0 875
D N R	899 1091 1248 0 866 1280
H S C	814 946 1022 0 781 1059
I O S	912 0 881
H R H	1239 0 1204
V A	966 0 935
I I M A	966 0 935
S I W D	362 961 0 331 992
K K O	1058 0 1038
G P O	962 0 931
S R S	1243 0 1210
C O Y	899 0 790 943
Q C	818 922 1025 0 784 1059
F H W	934 0 901
T N H	912 0 879
O M M N	877 0 846
Y P E	422 680 967 0 391 990
N L Y S	960 0 885 1035
I Q G V	959 0 928
U I D	362 961 0 331 992
M R Q Y	1000 1147 1245 0 971 1279
L Q G	957 0 926
P Q	910 0 879
N O L I	965 0 934
H C F	833 0 783 939
V N I	965 0 934
F P M	918 0 887
G A Y	958 0 881 1035
P M M F	910 0 879
G Y G	982 0 927 1038
W P	1057 0 1025
Q W N	877 0 846
I E G P	422 1061 0 391 1092
F H E N	595 757 880 0 562 912
N R R	1253 0 1232
O R M	1243 0 1210
M F V R	1243 0 1210
H Y Q V	971 0 925 1041
Y V R	1000 1147 1245 0 970 1279
O F Q	910 0 879
U I R G	1243 0 1210
M W K D	975 0 925 1079
V Y	958 0 881 1035
G T A	966 0 935
T T U N	877 0 846
O U W	936 0 905
R P D	955 1120 1248 0 922 1280
M M K O	1046 0 1017
D L N G	362 961 0 331 992
G O F	910 0 879
D L L N	362 622 881 0 331 912
M O I	965 0 934
R O U	1243 0 1210
W R S	1243 0 1210
G F S	912 0 881
L R C	1024 1159 1243 0 990 1279
U N	877 0 846
P T R F	1243 0 1210
E W	422 681 940 0 391 971
P U E	422 695 968 0 391 999
T D	362 961 0 331 992
Q R W E	962 1124 1247 0 930 1280
K H I	1044 0 1015
M H Q	908 0 875
P Y T F	959 0 883 1035
Q K O H	1044 0 1011
M H V P	1055 0 1022
N W	936 0 905
Y F U	345 1008 0 314 1039
D O A E	410 0 333 458
G C H K	889 0 858 1081
K O T	1046 0 1015
S A Y	958 0 881 1035
C G U	345 582 819 0 314 850
H I E D	425 517 595 0 395 634
N M F	910 0 879
N O E D	410 0 333 458
D U P	362 1061 0 331 1092
D W I V	362 963 0 331 994
N S C	818 922 1025 0 784 1059
Y T Q M	963 0 891 1035
R V N D	955 1120 1248 0 922 1280
W A A W	936 0 905
H O	960 0 927
U S H	912 0 879
R K E	1045 1200 1228 0 1015 1278
H O V W	934 0 901
U P G U	345 0 314
P G S T	907 0 876
S O F	910 0 879
R G	1243 0 1210
D P M	362 922 0 331 953
W O F T	907 0 876
M F E N	422 652 881 0 391 912
T R A	1243 0 1210
C F F	864 0 788 941
C T O M	868 0 788 949
I P S H	912 0 879
V K R P	1240 0 1206
P O I	965 0 934
F Y M	963 0 891 1035
D D I	371 0 314 409
P W V E	422 695 968 0 391 999
S R M Y	1000 1147 1245 0 971 1279
Y G U	345 1008 0 314 1039
F R T S	1243 0 1210
P K H	1044 0 1011
A T Q H	912 0 879
H Q K	1045 0 1011
P R L	1243 0 1210
T N D O	362 966 0 331 997
L I G	957 0 926
M Q	910 0 879
T R G	1243 0 1210
T F S C	818 922 1025 0 784 1059
T C I	831 892 953 0 786 998
G D H	595 774 917 0 563 949
I V S U	345 0 314
K G V P	1065 0 1045
V F C	818 922 1025 0 784 1059
E N	422 652 881 0 391 912
R A T	1243 0 1210
A H S	910 0 877
C W H Y	871 0 785 941
T E D	410 0 333 458
T W M	918 0 887
H C A H	824 0 779 943
G O P	1057 0 1025
A K A H	1044 0 1011
R V K N	1240 0 1207
H R O	1241 0 1207
Y P	1032 0 975 1090
O E E	431 0 374 469
K N R P	1240 0 1206
F U R S	1243 0 1210
E G D W	410 0 333 458
D L D	371 0 314 409
D D I Q	371 0 314 409
A V L L	957 0 926
D V E	410 0 333 458
A F D	362 961 0 331 992
W R R	1253 0 1232
L W N F	910 0 879
V S I F	910 0 879
T P M N	877 0 846
L D D	371 0 314 409
K E	983 0 932 1080
Q F L H	912 0 879
E F N	422 652 881 0 391 912
I Q Y	958 0 881 1035
N W N	877 0 846
N Q Q A	966 0 935
Q K L I	1046 0 1018
W M C I	831 892 953 0 786 998
D F D	371 0 314 409
C P W	0 787 968
R U V	1243 0 1210
H S N	875 0 842
D T	362 637 911 0 331 942
A K C V	975 0 927 1079
D C O	362 575 822 0 331 854
N W T	907 0 876
U Y W H	933 0 882 1033
K R G D	1045 1200 1228 0 1014 1278
O E P G	422 692 961 0 391 992
H V P	1055 0 1022
D D T	371 0 314 409
Y L A	987 0 934 1040
W Y P Q	959 0 883 1035
Q A I F	910 0 879
E A R L	955 1120 1248 0 922 1280
K L R	1240 0 1207
N L G	957 0 926
V D G P	362 1061 0 331 1092
S N C F	864 0 788 941
K N N D	975 0 925 1079
W Q G	957 0 926
G V A	966 0 935
N V	959 0 928
M Q E H	594 774 917 0 562 949
K R Q M	1240 0 1207
O C E	422 605 822 0 391 854
R W R	1253 0 1232
W V	959 0 928
L W N	877 0 846
I I Q U	345 0 314
K L F	1046 0 1015
R T Y	1000 1147 1245 0 971 1279
K F O R	1240 0 1207
N I M O	962 0 931
H G K U	1046 0 1012
C O K	893 0 862 1082
D I A N	362 622 881 0 331 912
R W N	1243 0 1210
W E	422 695 968 0 391 999
U L N	877 0 846
H Y I G	970 0 924 1040
E G L M	422 672 922 0 391 953
H O I N	875 0 842
F M Y	958 0 881 1035
E M U V	422 693 963 0 391 994
P A M W	936 0 905
N H	912 0 879
D V T	362 637 911 0 331 942
S F W W	936 0 905
G G N T	907 0 876
L C L W	0 787 968
Y I R O	1004 1148 1245 0 981 1279
M S N	877 0 846
N R I M	1243 0 1210
P D P	362 1061 0 331 1092
T I I	965 0 934
O R D T	905 1094 1248 0 872 1280
Q T P	1057 0 1025
U D Q	362 638 914 0 331 945
H D T R	897 1101 1248 0 863 1280
S U F D	362 961 0 331 992
A N R K	1240 0 1207
C C M	824 0 767 860
A V C K	893 0 862 1082
O F S H	912 0 879
U A R	1243 0 1210
Y G D	362 962 0 331 985
F R R C	1236 0 1199 1302
M M	918 0 887
R U Y O	1004 1148 1245 0 981 1279
S H G N	875 0 842
G D E K	420 659 899 0 395 931
U M Y	958 0 881 1035
D A O K	896 0 859 1082
N H A	964 0 931
I U S	912 0 881
F P	1057 0 1025
P N I V	959 0 928
Y H L O	973 0 928 1042
L S P	1057 0 1025
N F S	912 0 881
H O N	875 0 842
L A L	957 0 926
O O I	965 0 934
A M K	1047 0 1015
L L O S	912 0 881
Q H L	955 0 922
T L Q U	345 0 314
T S G F	910 0 879
E D R	420 664 907 0 395 939
Q K U	1048 0 1015
Q W I G	957 0 926
T U K C	1030 0 988 1093
A T S Q	910 0 879
K N E U	418 1054 0 391 1085
W K L	1046 0 1017
M Y	958 0 881 1035
T D O	362 966 0 331 997
U D C	362 575 821 0 331 854
F H T Q	908 0 875
U I R	1243 0 1210
S L G	957 0 926
D C P S	362 575 823 0 331 852
E I Q H	594 774 917 0 562 949
Q S I D	362 961 0 331 992
V T L S	912 0 881
D E P	410 0 333 458
R U I V	1243 0 1210
R O W	1243 0 1210
N T U W	936 0 905
R T F	1243 0 1210
M U Q T	907 0 876
K E V	977 0 927 1079
L E T	422 667 911 0 391 942
P C E L	422 605 822 0 391 854
K F O I	1046 0 1018
G C H	832 0 783 943
T M T U	345 0 314
H V T	905 0 872
F N	877 0 846
L W R N	1243 0 1210
N H E T	594 771 910 0 562 942
O M E R	899 1091 1248 0 866 1280
C R C	828 930 1028 0 806 1063
T M T P	1057 0 1025
N P H	912 0 879
P T L	957 0 926
K I	1046 0 1018
V K V	1046 0 1017
M F T G	957 0 926
Q S M	918 0 887
Q P I A	966 0 935
N G D P	362 1061 0 331 1092
A U	345 0 314
R U H G	1241 0 1207
K C W	946 0 903 1079
M P E I	422 696 969 0 391 1000
M F H	912 0 879
W I G	957 0 926
E N F	422 668 914 0 391 945
U O N	877 0 846
N W P S	912 0 881
M O P W	936 0 905
K R L	1240 0 1207
Y Y D	362 638 967 0 331 988
I M K	1047 0 1015
E V V G	422 692 961 0 391 992
N H C	814 946 1022 0 781 1059
F W Q	910 0 879
A L W Y	958 0 881 1035
O V H	912 0 879
I E Y W	422 666 943 0 391 969
G P K	1047 0 1015
A M U	345 0 314
F E E	431 0 374 469
P T S	912 0 881
A U F V	959 0 928
C D D	375 0 309 411
K T M	1046 0 1015
S T E N	422 652 881 0 391 912
S E C F	422 605 823 0 391 852
G U K G	1046 0 1017
O G F	910 0 879
Y A S	960 0 885 1035
A S A U	345 0 314
G H V	957 0 924
S M C	818 922 1025 0 784 1059
F W O	962 0 931
L Q	910 0 879
L S S E	422 695 968 0 391 999
C C	824 0 767 862
S I O	962 0 931
T Q O V	959 0 928
N I P V	959 0 928
T T D Y	362 622 916 0 331 945
S W K	1047 0 1015
V V U M	918 0 887
L R K O	1240 0 1207
I W N R	1243 0 1210
I G T	907 0 876
K D A N	879 1005 1030 0 843 1083
D D E A	375 0 309 404
W L V L	957 0 926
C Q O Q	864 0 788 941
Q W Y M	963 0 891 1035
A Y W	972 0 908 1035
T M N Y	958 0 881 1035
V H C N	832 0 783 910
P T F C	818 922 1025 0 784 1059
A T O	962 0 931
A C K	893 0 862 1082
P L S Y	958 0 881 1035
T F U	345 0 314
L Q O T	907 0 876
R U H I	1241 0 1207
T U P	1057 0 1025
C P Q R	897 1091 1248 0 869 1280
W S O	962 0 931
C H S	832 0 783 941
V Y R	1000 1147 1245 0 970 1279
K H Q	1044 0 1011
K K N C	1045 0 1019 1108
G R U	1243 0 1210
O D S	362 639 916 0 331 947
M S K	1047 0 1015
N E Y	422 652 916 0 391 945
K S Q V	1046 0 1017
A W	936 0 905
Y L E R	955 0 871 1038
G H O	960 0 927
G G	957 0 926
P D V Y	362 622 916 0 331 945
H S U K	1045 0 1011
G D K C	816 916 1023 0 781 1046
T Q D	362 961 0 331 992
D E Y	417 0 330 462
S E I	422 696 969 0 391 1000
I E H D	425 517 595 0 395 634
M E F	422 668 914 0 391 945
Y Y	989 0 884 1017
E M I F	422 668 914 0 391 945
W G P	1057 0 1025
A N S U	345 0 314
K U	1048 0 1015
S T T	907 0 876
N A N	877 0 846
G Y H A	976 0 932 1043
M V U	345 0 314
Y K P	1049 0 1019 1107
C E A	422 605 822 0 391 854
G H Y M	937 0 886 1034
W C Y	899 0 790 943
T F C V	834 889 944 0 786 992
U H R	1241 0 1207
M M D	362 961 0 331 992
N S P P	1057 0 1025
G P K K	1058 0 1037
Q N K	1047 0 1015
F P O E	422 695 968 0 391 999
W Q L	957 0 926
Y V D	362 962 0 331 985
C Q M	868 0 788 949
P U W	936 0 905
D F L S	362 639 916 0 331 947
A S	912 0 881
Q R M	1243 0 1210
L M	918 0 887
U C N	848 0 787 909
K C U	814 955 1050 0 781 1084
G H P H	910 0 876
Y M T I	986 0 933 1039
T U L L	957 0 926
V L Q	910 0 879
F Y I F	959 0 883 1035
G U	345 0 314
H S T V	957 0 924
F T U	345 0 314
Y O	985 0 931 1039
V W L M	918 0 887
O R K	1240 0 1207
M K F V	1046 0 1017
D K T R	1046 1199 1228 0 1012 1278
K Y K A	1041 0 1015 1107
A R	1243 0 1210
D D N N	371 0 314 409
A W M	918 0 887
U Y F	959 0 883 1035
K P Q I	1046 0 1018
O U W U	345 0 314
C Y L A	965 0 787 991
I K C	1030 0 988 1093
L O Y	958 0 881 1035
W W M	918 0 887
Y F N	913 942 972 0 849 1036
P W O W	936 0 905
A G W	936 0 905
A A	966 0 935
G L W S	912 0 881
U P Y	958 0 881 1035
E V Y W	422 666 943 0 391 969
O D R T	905 1094 1248 0 872 1280
U R K Y	1047 1202 1228 0 1022 1278
Y Q Y	989 0 884 1017
W Y T R	1000 1147 1245 0 970 1279
P P Y	958 0 881 1035
K K W W	1058 0 1037
E Q Y N	422 636 885 0 391 916
